,初出作品,キャラ集計ポイント比率,音楽集計ポイント比率,名前,回,回n,名前n
38,非想天則,,0.0753319041708974,東方非想天則,5.0,0.2631578947368421,0.7894736842105263
39,神魔討綺伝 ,,0.0,神魔討綺伝 ,5.0,0.2631578947368421,0.868421052631579
40,秋霜玉,,0.0043439016134489035,秋霜玉,5.0,0.2631578947368421,0.8947368421052632
41,秘封ナイトメアダイアリー,,0.0,秘封ナイトメアダイアリー,5.0,0.2631578947368421,0.9210526315789473
42,稀翁玉,,0.0004701192222347035,稀翁玉,5.0,0.2631578947368421,0.9473684210526315
43,黄昏酒場,,0.0005829478355711,黄昏酒場,5.0,0.2631578947368421,0.9736842105263158
0,CD,0.0021472935635067,,,,,
1,ダブルスポイラー,0.0,0.008863480590691,ダブルスポイラー,6.0,0.3157894736842105,0.02631578947368421
2,儚月抄,0.0035326442496401,,,,,
3,剛欲異聞,0.0,0.0,東方剛欲異聞,6.0,0.3157894736842105,0.15789473684210525
4,地霊殿,0.0900093126351676,0.1292837559972575,東方地霊殿,6.0,0.3157894736842105,0.18421052631578946
5,天空璋,0.0,0.0,東方天空璋,6.0,0.3157894736842105,0.23684210526315788
6,妖々夢,0.1413596447345125,0.16164558539472773,東方妖々夢,6.0,0.3157894736842105,0.2631578947368421
7,妖精大戦争,0.0055414027445335,0.0002025048289613,妖精大戦争,6.0,0.3157894736842105,0.10526315789473684
8,封魔録,0.0414065927299874,0.0019237958751320567,東方封魔録,6.0,0.3157894736842105,0.2894736842105263
9,幺樂団の歴史,0.004994958862781,,,,,
10,幻想郷,0.0308240527664683,0.016550875443952368,東方幻想郷,6.0,0.3157894736842105,0.3157894736842105
11,心綺楼,0.0,0.0,東方心綺楼,6.0,0.3157894736842105,0.3684210526315789
12,怪綺談,0.0312858363285128,0.016636550563897512,東方怪綺談,6.0,0.3157894736842105,0.39473684210526316
13,憑依華,0.0,0.0,東方憑依華,6.0,0.3157894736842105,0.42105263157894735
14,星蓮船,0.0,0.0002025048289613,東方星蓮船,6.0,0.3157894736842105,0.47368421052631576
15,永夜抄,0.1139373975417718,0.11198517041560134,東方永夜抄,6.0,0.3157894736842105,0.5
16,深秘録,0.0,0.0,東方深秘録,6.0,0.3157894736842105,0.5263157894736842
17,神霊廟,0.0,0.0002025048289613,東方神霊廟,6.0,0.3157894736842105,0.5526315789473685
18,紅魔郷,0.1945494146893347,0.1490201881737171,東方紅魔郷,6.0,0.3157894736842105,0.5789473684210527
19,紺珠伝,0.0,0.0,東方紺珠伝,6.0,0.3157894736842105,0.6052631578947368
20,緋想天,0.0417837159723237,0.017789270359523802,東方緋想天,6.0,0.3157894736842105,0.631578947368421
21,花映塚,0.0628487427942521,0.07597046544955972,東方花映塚,6.0,0.3157894736842105,0.6578947368421053
22,茨歌仙,0.0,,,,,
23,萃夢想,0.0188099837606114,0.0155227740046107,東方萃夢想,6.0,0.3157894736842105,0.6842105263157895
24,虹龍洞,0.0,0.0,東方虹龍洞,6.0,0.3157894736842105,0.7105263157894737
25,輝針城,0.0,0.0002025048289613,東方輝針城,6.0,0.3157894736842105,0.7368421052631579
26,鈴奈庵,0.0,,,,,
27,靈異伝,0.0441695977095535,0.0014954202754063441,東方靈異伝,6.0,0.3157894736842105,0.7631578947368421
28,風神録,0.13053082020456971,0.1657346252102928,東方風神録,6.0,0.3157894736842105,0.8157894736842105
29,香霖堂,0.0094280810584079,,,,,
30,鬼形獣,0.0,0.0,東方鬼形獣,6.0,0.3157894736842105,0.8421052631578947
31,Cradle,,0.0073446943734812,Cradle,6.0,0.3157894736842105,0.0
32,トルテルマジック,,0.0007243441958999978,トルテルマジック,6.0,0.3157894736842105,0.05263157894736842
33,メニュー,,0.0007243441958997702,メニュー,6.0,0.3157894736842105,0.07894736842105263
34,弾幕アマノジャク,,0.008863480590691,弾幕アマノジャク,6.0,0.3157894736842105,0.13157894736842105
35,夢時空,,0.0117686460215584,東方夢時空,6.0,0.3157894736842105,0.21052631578947367
36,幻想麻雀,,0.0,東方幻想麻雀,6.0,0.3157894736842105,0.34210526315789475
37,文花帖,,0.0365754875693185,東方文花帖,6.0,0.3157894736842105,0.4473684210526316
38,非想天則,,0.08461586391675449,東方非想天則,6.0,0.3157894736842105,0.7894736842105263
39,神魔討綺伝 ,,0.0,神魔討綺伝 ,6.0,0.3157894736842105,0.868421052631579
40,秋霜玉,,0.0038943236338710315,秋霜玉,6.0,0.3157894736842105,0.8947368421052632
41,秘封ナイトメアダイアリー,,0.0,秘封ナイトメアダイアリー,6.0,0.3157894736842105,0.9210526315789473
42,稀翁玉,,0.00038164371611929107,稀翁玉,6.0,0.3157894736842105,0.9473684210526315
43,黄昏酒場,,0.0012072403265,黄昏酒場,6.0,0.3157894736842105,0.9736842105263158
0,CD,0.009319156949668301,,,,,
1,ダブルスポイラー,0.0,0.0066147433656941,ダブルスポイラー,7.0,0.3684210526315789,0.02631578947368421
2,儚月抄,0.004779185349939,,,,,
3,剛欲異聞,0.0,0.0,東方剛欲異聞,7.0,0.3684210526315789,0.15789473684210525
4,地霊殿,0.0986171409376155,0.1132435717527497,東方地霊殿,7.0,0.3684210526315789,0.18421052631578946
5,天空璋,0.0,0.0,東方天空璋,7.0,0.3684210526315789,0.23684210526315788
6,妖々夢,0.1185176890933793,0.1351170882609163,東方妖々夢,7.0,0.3684210526315789,0.2631578947368421
7,妖精大戦争,0.0057258610422592,0.0008555346308941,妖精大戦争,7.0,0.3684210526315789,0.10526315789473684
8,封魔録,0.0344366007217129,0.0019197362449329181,東方封魔録,7.0,0.3684210526315789,0.2894736842105263
9,幺樂団の歴史,0.0043720130091562,,,,,
10,幻想郷,0.0293367671534072,0.015357889959465973,東方幻想郷,7.0,0.3684210526315789,0.3157894736842105
11,心綺楼,0.0,0.0,東方心綺楼,7.0,0.3684210526315789,0.3684210526315789
12,怪綺談,0.0317492632725458,0.021284032280781923,東方怪綺談,7.0,0.3684210526315789,0.39473684210526316
13,憑依華,0.0,0.0,東方憑依華,7.0,0.3684210526315789,0.42105263157894735
14,星蓮船,0.08938450811036369,0.10708267907539576,東方星蓮船,7.0,0.3684210526315789,0.47368421052631576
15,永夜抄,0.0965252930368436,0.08900168498588802,東方永夜抄,7.0,0.3684210526315789,0.5
16,深秘録,0.0,0.0,東方深秘録,7.0,0.3684210526315789,0.5263157894736842
17,神霊廟,0.0,0.0002556170543525,東方神霊廟,7.0,0.3684210526315789,0.5526315789473685
18,紅魔郷,0.174127251535803,0.1323209506867744,東方紅魔郷,7.0,0.3684210526315789,0.5789473684210527
