,名前,12回目ポイント,16回目ポイント,13回目ポイント,15回目ポイント,17回目ポイント,20回目ポイント,18回目ポイント,21回目ポイント,14回目ポイント
289,文花帖,407.0,802.0,1226.0,717.0,914.0,279,955.0,279,226.0
290,文花帖,407.0,802.0,1226.0,717.0,914.0,279,264.0,940,870.0
291,文花帖,407.0,802.0,1226.0,717.0,914.0,279,264.0,940,226.0
292,文花帖,407.0,802.0,1226.0,717.0,914.0,279,264.0,279,870.0
293,文花帖,407.0,802.0,1226.0,717.0,914.0,279,264.0,279,226.0
294,文花帖,407.0,802.0,1226.0,717.0,231.0,940,955.0,940,870.0
295,文花帖,407.0,802.0,1226.0,717.0,231.0,940,955.0,940,226.0
296,文花帖,407.0,802.0,1226.0,717.0,231.0,940,955.0,279,870.0
297,文花帖,407.0,802.0,1226.0,717.0,231.0,940,955.0,279,226.0
298,文花帖,407.0,802.0,1226.0,717.0,231.0,940,264.0,940,870.0
299,文花帖,407.0,802.0,1226.0,717.0,231.0,940,264.0,940,226.0
300,文花帖,407.0,802.0,1226.0,717.0,231.0,940,264.0,279,870.0
301,文花帖,407.0,802.0,1226.0,717.0,231.0,940,264.0,279,226.0
302,文花帖,407.0,802.0,1226.0,717.0,231.0,279,955.0,940,870.0
303,文花帖,407.0,802.0,1226.0,717.0,231.0,279,955.0,940,226.0
304,文花帖,407.0,802.0,1226.0,717.0,231.0,279,955.0,279,870.0
305,文花帖,407.0,802.0,1226.0,717.0,231.0,279,955.0,279,226.0
306,文花帖,407.0,802.0,1226.0,717.0,231.0,279,264.0,940,870.0
307,文花帖,407.0,802.0,1226.0,717.0,231.0,279,264.0,940,226.0
308,文花帖,407.0,802.0,1226.0,717.0,231.0,279,264.0,279,870.0
309,文花帖,407.0,802.0,1226.0,717.0,231.0,279,264.0,279,226.0
310,文花帖,407.0,802.0,1226.0,201.0,914.0,940,955.0,940,870.0
311,文花帖,407.0,802.0,1226.0,201.0,914.0,940,955.0,940,226.0
312,文花帖,407.0,802.0,1226.0,201.0,914.0,940,955.0,279,870.0
313,文花帖,407.0,802.0,1226.0,201.0,914.0,940,955.0,279,226.0
314,文花帖,407.0,802.0,1226.0,201.0,914.0,940,264.0,940,870.0
315,文花帖,407.0,802.0,1226.0,201.0,914.0,940,264.0,940,226.0
316,文花帖,407.0,802.0,1226.0,201.0,914.0,940,264.0,279,870.0
317,文花帖,407.0,802.0,1226.0,201.0,914.0,940,264.0,279,226.0
318,文花帖,407.0,802.0,1226.0,201.0,914.0,279,955.0,940,870.0
319,文花帖,407.0,802.0,1226.0,201.0,914.0,279,955.0,940,226.0
320,文花帖,407.0,802.0,1226.0,201.0,914.0,279,955.0,279,870.0
321,文花帖,407.0,802.0,1226.0,201.0,914.0,279,955.0,279,226.0
322,文花帖,407.0,802.0,1226.0,201.0,914.0,279,264.0,940,870.0
323,文花帖,407.0,802.0,1226.0,201.0,914.0,279,264.0,940,226.0
324,文花帖,407.0,802.0,1226.0,201.0,914.0,279,264.0,279,870.0
325,文花帖,407.0,802.0,1226.0,201.0,914.0,279,264.0,279,226.0
326,文花帖,407.0,802.0,1226.0,201.0,231.0,940,955.0,940,870.0
327,文花帖,407.0,802.0,1226.0,201.0,231.0,940,955.0,940,226.0
328,文花帖,407.0,802.0,1226.0,201.0,231.0,940,955.0,279,870.0
