,Track Name,Notes,作品
196,おてんば恋娘の冒険, チルノのテーマ,花映塚
197,幽霊楽団, プリズムリバー三姉妹のテーマ,花映塚
198,もう歌しか聞こえない, ミスティア・ローレライのテーマ,花映塚
199,お宇佐さまの素い幡, 因幡 てゐのテーマ,花映塚
200,風神少女, 射命丸 文のテーマ,花映塚
201,ポイズンボディ, メディスン・メランコリーのテーマ,花映塚
202,今昔幻想郷, 風見 幽香のテーマ,花映塚
203,彼岸帰航, 小野塚 小町のテーマ,花映塚
204,六十年目の東方裁判, 四季映姫・ヤマザナドゥのテーマ,花映塚
205,花の映る塚, 会話場面のテーマ１,花映塚
206,此岸の塚, 会話場面のテーマ２,花映塚
207,花は幻想のままに, エンディングテーマ,花映塚
208,魂の花, スタッフロールテーマ,花映塚
209,永夜抄, タイトル画面テーマ,永夜抄
210,幻視の夜, １面テーマ,永夜抄
211,蠢々秋月, １面ボス・リグル・ナイトバグのテーマ,永夜抄
212,夜雀の歌声, ２面テーマ,永夜抄
213,もう歌しか聞こえない, ２面ボス・ミスティア・ローレライのテーマ,永夜抄
214,懐かしき東方の血, ３面のテーマ,永夜抄
215,プレインエイジア, ３面ボス・上白沢 慧音のテーマ,永夜抄
216,永夜の報い, ４面テーマ,永夜抄
217,少女綺想曲, ４面ボス・博麗 霊夢のテーマ,永夜抄
218,恋色マスタースパーク, ４面ボス・霧雨 魔理沙のテーマ,永夜抄
219,シンデレラケージ, ５面テーマ,永夜抄
220,狂気の瞳, ５面ボス・鈴仙・U・イナバのテーマ,永夜抄
221,ヴォヤージュ1969, ６面テーマ,永夜抄
222,千年幻想郷, ６面Aボス・八意 永琳のテーマ,永夜抄
223,竹取飛翔, ６面Bボス・蓬莱山 輝夜のテーマ,永夜抄
224,ヴォヤージュ1970, 永琳・輝夜ファイナルスペルのテーマ,永夜抄
225,エクステンドアッシュ, EXTRAテーマ,永夜抄
226,月まで届け、不死の煙, EXTRAボス・藤原 妹紅のテーマ,永夜抄
227,月見草, エンディングテーマ,永夜抄
228,Eternal Dream, スタッフロールテーマ,永夜抄
229,東方妖怪小町, ラストワードのテーマ,永夜抄
230,Demystify Feast, 宴会直前ステージのテーマ,萃夢想
