,名前,作品ポイント比率,キャラ集計ポイント比率,回,回n,名前n
57,CD,,0.0188874495333843,13.0,0.14285714285714285,0.0
0,紅魔郷,0.1023632354273861,0.1442169288021341,14.0,0.2857142857142857,0.5806451612903226
1,永夜抄,0.0962411768852013,0.071970228900435,14.0,0.2857142857142857,0.4838709677419355
2,妖々夢,0.0843192734083151,0.0916611079904503,14.0,0.2857142857142857,0.1935483870967742
3,風神録,0.0738775386908058,0.0709784440387582,14.0,0.2857142857142857,0.9032258064516129
4,地霊殿,0.0607574033610906,0.089150926836118,14.0,0.2857142857142857,0.12903225806451613
5,紺珠伝,0.0600223535690191,0.0546798202499646,14.0,0.2857142857142857,0.6129032258064516
6,鈴奈庵,0.0453717036037578,0.0059550975986518,14.0,0.2857142857142857,0.8387096774193549
7,輝針城,0.036087924038142,0.0410800800449372,14.0,0.2857142857142857,0.8064516129032258
8,星蓮船,0.0317481095123498,0.0483912020783595,14.0,0.2857142857142857,0.45161290322580644
9,非想天則,0.0298148278674493,,,,
10,深秘録,0.0204504948999627,0.0061438000280859,14.0,0.2857142857142857,0.5161290322580645
11,神霊廟,0.0253541832388509,0.0395265763235497,14.0,0.2857142857142857,0.5483870967741935
12,茨歌仙,0.0260288179795192,0.0073374526049712,14.0,0.2857142857142857,0.7096774193548387
13,花映塚,0.0213667898462436,0.0408650470439543,14.0,0.2857142857142857,0.6774193548387096
14,緋想天,0.0176311258344828,0.0263700674062631,14.0,0.2857142857142857,0.6451612903225806
15,弾幕アマノジャク,0.0147614108928337,,,,
16,儚月抄,0.0123347396614743,0.0039846931610726995,14.0,0.2857142857142857,0.06451612903225806
17,心綺楼,0.0094650247198251,0.0160002106445723,14.0,0.2857142857142857,0.3548387096774194
18,三月精,0.0130496511030781,,,,
19,求聞史紀 / 求聞口授,0.0102302820375983,,,,
20,香霖堂,0.0106431182221864,0.0038310981603707,14.0,0.2857142857142857,0.9354838709677419
21,大空魔術,0.0128180600726994,,,,
22,文花帖,0.0087601824534552,,,,
23,ダブルスポイラー,0.0092938487408496,0.0051300730234517,14.0,0.2857142857142857,0.03225806451612903
24,蓬莱人形,0.0109149859535005,,,,
25,妖精大戦争,0.0086192140001812,0.0050774118803538,14.0,0.2857142857142857,0.22580645161290322
26,幻想郷,0.0082466545165285,0.0124060876281421,14.0,0.2857142857142857,0.3225806451612903
27,怪綺談,0.0074914663739893,0.0225916303889903,14.0,0.2857142857142857,0.3870967741935484
28,萃夢想,0.0063939262734989,0.008061543322567,14.0,0.2857142857142857,0.7419354838709677
29,蓮台野夜行,0.005125210194033,,,,
30,夢時空,0.0051755560702022,,,,
31,卯酉東海道,0.0057092223575966,,,,
32,The Grimoire of Marisa,0.0041988460725182,,,,
33,夢違科学世紀,0.004067946794478,,,,
34,靈異伝,0.004420367927663,0.0376263867434349,14.0,0.2857142857142857,0.8709677419354839
35,伊弉諾物質,0.0034738654556805,,,,
36,鳥船遺跡,0.0027388156636089,,,,
37,文花帖（書籍）,0.0022756336028515,,,,
38,幺樂団の歴史,0.0017822440163926,0.0043050484482516,14.0,0.2857142857142857,0.2903225806451613
39,封魔録,0.0026179855608027,0.0324129335767448,14.0,0.2857142857142857,0.25806451612903225
40,未知の花　魅知の旅,0.001681552264054,,,,
41,燕石博物誌,0.0048029965865495,,,,
42,旧約酒場,0.0032422744253018,,,,
43,天空璋,0.0352018366175626,0.0025847844403875,14.0,0.2857142857142857,0.16129032258064516
