,Number,Track Name,Notes,title
13,13,輝く針の小人族　～ Little Princess,６面ボス・少名針妙丸のテーマ,東方輝針城　～ Double Dealing Character.
14,14,魔力の雷雲,EXTRAステージテーマ,東方輝針城　～ Double Dealing Character.
15,15,始原のビート　～ Pristine Beat,EXTRAボス・堀川雷鼓のテーマ,東方輝針城　～ Double Dealing Character.
16,16,小槌の魔力,エンディングテーマ,東方輝針城　～ Double Dealing Character.
17,17,不思議な不思議な道具達,スタッフロールテーマ,東方輝針城　～ Double Dealing Character.
18,18,プレイヤーズスコア,ネームレジストのテーマ（※妖精大戦争と同じ）,東方輝針城　～ Double Dealing Character.
1,01,反則の狼煙を上げろ,タイトル画面のテーマ,弾幕アマノジャク　～ Impossible Spell Card.
2,02,不可能弾幕には反則を,最序盤のテーマ,弾幕アマノジャク　～ Impossible Spell Card.
3,03,ミッドナイトスペルカード,序盤のテーマ,弾幕アマノジャク　～ Impossible Spell Card.
4,04,ロマンチック逃避行,中盤のテーマ,弾幕アマノジャク　～ Impossible Spell Card.
5,05,永遠の三日天下,終盤のテーマ,弾幕アマノジャク　～ Impossible Spell Card.
6,06,秘境のマーメイド,（※東方輝針城より再録）,弾幕アマノジャク　～ Impossible Spell Card.
7,07,リバースイデオロギー,（※東方輝針城より再録）,弾幕アマノジャク　～ Impossible Spell Card.
8,08,幻想浄瑠璃,（※東方輝針城より再録）,弾幕アマノジャク　～ Impossible Spell Card.
9,09,妖怪の山　～ Mysterious Mountain,（※ダブルスポイラーより再録）,弾幕アマノジャク　～ Impossible Spell Card.
1,-,華狭間のバトルフィールド,茨木 華扇のテーマ,東方深秘録　～ Urban Legend in Limbo.
2,-,ラストオカルティズム ～ 現し世の秘術師,宇佐見 菫子のテーマ,東方深秘録　～ Urban Legend in Limbo.
1,01,宇宙巫女現る,タイトル画面テーマ,東方紺珠伝　～ Legacy of Lunatic Kingdom.
2,02,忘れがたき、よすがの緑,１面テーマ,東方紺珠伝　～ Legacy of Lunatic Kingdom.
3,03,兎は舞い降りた,１面ボス・清蘭のテーマ,東方紺珠伝　～ Legacy of Lunatic Kingdom.
4,04,湖は浄めの月光を映して,２面テーマ,東方紺珠伝　～ Legacy of Lunatic Kingdom.
5,05,九月のパンプキン,２面ボス・鈴瑚のテーマ,東方紺珠伝　～ Legacy of Lunatic Kingdom.
6,06,宇宙を飛ぶ不思議な巫女,３面テーマ,東方紺珠伝　～ Legacy of Lunatic Kingdom.
7,07,永遠の春夢,３面ボス・ドレミー・スイートのテーマ,東方紺珠伝　～ Legacy of Lunatic Kingdom.
8,08,凍り付いた永遠の都,４面テーマ,東方紺珠伝　～ Legacy of Lunatic Kingdom.
9,09,逆転するホイールオブフォーチュン,４面ボス・稀神 サグメのテーマ,東方紺珠伝　～ Legacy of Lunatic Kingdom.
10,10,遥か38万キロのボヤージュ,５面テーマ,東方紺珠伝　～ Legacy of Lunatic Kingdom.
