,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"subpower[15, 4]",0.199,0.075,0.106,0.32,0.037,0.028,4.0,13.0,3.11
"subpower[16, 0]",0.194,0.086,0.072,0.306,0.042,0.032,5.0,24.0,2.77
"subpower[16, 1]",0.157,0.051,0.09,0.234,0.022,0.017,6.0,25.0,1.79
"subpower[16, 2]",0.195,0.066,0.104,0.284,0.032,0.024,5.0,18.0,2.96
"subpower[16, 3]",0.136,0.073,0.062,0.263,0.036,0.028,5.0,17.0,3.1
"subpower[16, 4]",0.141,0.061,0.052,0.228,0.029,0.022,5.0,11.0,2.66
"subpower[17, 0]",0.167,0.048,0.095,0.227,0.023,0.018,5.0,35.0,2.86
"subpower[17, 1]",0.2,0.086,0.083,0.327,0.042,0.032,4.0,14.0,3.56
"subpower[17, 2]",0.187,0.08,0.069,0.3,0.039,0.03,4.0,14.0,3.35
"subpower[17, 3]",0.2,0.077,0.104,0.322,0.038,0.029,4.0,11.0,3.38
"subpower[17, 4]",0.146,0.054,0.076,0.224,0.026,0.02,4.0,14.0,3.37
titlepow[0],216.077,96.79,55.531,313.875,47.762,36.512,5.0,19.0,2.79
titlepow[1],170.26,57.443,81.804,265.216,28.272,21.603,4.0,13.0,3.4
titlepow[2],110.225,44.306,7.533,153.462,17.374,12.882,6.0,26.0,1.82
titlepow[3],151.973,106.903,22.682,292.629,52.606,40.196,5.0,14.0,2.82
titlepow[4],204.256,71.2,112.687,292.305,35.255,27.029,5.0,26.0,2.25
titlepow[5],144.191,19.518,108.808,179.612,8.015,5.973,6.0,22.0,1.77
titlepow[6],106.393,121.881,1.931,327.827,60.545,46.338,4.0,18.0,3.3
titlepow[7],104.442,14.898,84.294,130.657,6.536,4.909,6.0,22.0,1.83
titlepow[8],183.498,24.824,145.824,221.67,10.155,7.564,6.0,27.0,1.83
titlepow[9],118.394,74.599,47.958,246.7,33.35,25.112,5.0,19.0,2.53
titlepow[10],52.947,18.221,25.275,80.721,8.526,6.462,5.0,31.0,2.15
titlepow[11],96.982,79.391,10.937,225.281,38.474,29.887,5.0,15.0,2.42
titlepow[12],31.069,23.5,1.896,58.99,11.715,8.972,4.0,14.0,3.35
titlepow[13],112.219,71.334,3.006,238.006,34.921,26.659,4.0,11.0,3.74
titlepow[14],163.68,45.055,80.717,223.857,21.419,16.441,5.0,24.0,2.49
titlepow[15],53.443,38.615,13.086,121.915,19.138,14.664,5.0,12.0,2.95
titlepow[16],120.995,117.38,6.985,322.524,58.004,44.436,4.0,11.0,3.14
titlepow[17],76.404,68.367,8.589,190.186,32.444,24.901,5.0,15.0,2.45
noninttitlepow[0],64.638,78.878,7.203,232.481,38.316,29.213,5.0,30.0,2.94
