,名前,12回目ポイント,16回目ポイント,13回目ポイント,15回目ポイント,17回目ポイント,20回目ポイント,18回目ポイント,19回目ポイント,21回目ポイント,14回目ポイント,10回目ポイント,5回目ポイント,9回目ポイント,4回目ポイント,3回目ポイント,2回目ポイント,7回目ポイント,11回目ポイント,8回目ポイント,6回目ポイント,1回目ポイント
102,綿月 豊姫,394.0,335.0,363.0,285.0,546.0,,561.0,522.0,,261.0,279.0,35.0,320.0,,,,184.0,232.0,274.0,139.0,
103,名無しの本読み妖怪,358.0,321.0,361.0,223.0,360.0,,444.0,448.0,,250.0,288.0,48.0,508.0,18.0,24.0,,354.0,253.0,480.0,146.0,
104,蓬莱人形ジャケット・レーベルイラストの娘,316.0,,,,,,,,,,,,,,,,,,,,
105,夢月,308.0,256.0,314.0,184.0,251.0,,299.0,267.0,,247.0,94.0,8.0,117.0,3.0,2.0,,55.0,160.0,70.0,24.0,
106,カナ・アナベラル,275.0,279.0,281.0,201.0,290.0,,326.0,322.0,,249.0,147.0,35.0,198.0,9.0,3.0,2（2）,142.0,199.0,160.0,105.0,
107,夢子,244.0,192.0,256.0,174.0,221.0,,272.0,288.0,,167.0,125.0,32.0,171.0,9.0,1.0,,119.0,135.0,136.0,52.0,
108,レイセン,212.0,244.0,203.0,182.0,317.0,,329.0,389.0,,168.0,124.0,28.0,162.0,,,,146.0,120.0,168.0,64.0,
109,嫦娥,209.0,52.0,133.0,37.0,62.0,,66.0,53.0,,50.0,,,,,,,,,,,
110,サリエル,201.0,241.0,226.0,190.0,199.0,,293.0,299.0,,180.0,98.0,14.0,121.0,3.0,,,83.0,116.0,103.0,13.0,
111,エリー,199.0,124.0,139.0,77.0,132.0,,150.0,158.0,,105.0,101.0,41.0,148.0,3.0,5.0,,133.0,112.0,133.0,90.0,
112,北白河 ちゆり,197.0,179.0,176.0,128.0,180.0,,207.0,216.0,,149.0,95.0,70.0,130.0,21.0,37.0,9（5）,150.0,118.0,121.0,115.0,
113,雲山,182.0,135.0,156.0,76.0,163.0,,156.0,149.0,,121.0,140.0,,175.0,,,,324.0,119.0,311.0,,
114,マイ,178.0,151.0,158.0,116.0,139.0,,155.0,147.0,,123.0,103.0,34.0,143.0,4.0,9.0,,122.0,115.0,162.0,57.0,1.0
115,くるみ,166.0,174.0,161.0,130.0,205.0,,231.0,230.0,,147.0,75.0,12.0,138.0,1.0,2.0,,59.0,97.0,74.0,31.0,
116,毛玉,163.0,129.0,117.0,64.0,163.0,,162.0,164.0,,76.0,75.0,75.0,144.0,19.0,5.0,,114.0,76.0,129.0,76.0,
117,ユキ,162.0,121.0,133.0,117.0,132.0,,137.0,117.0,,113.0,81.0,28.0,99.0,,8.0,,102.0,100.0,130.0,53.0,
118,コンガラ,156.0,129.0,135.0,108.0,156.0,,163.0,167.0,,107.0,65.0,2.0,83.0,,,,37.0,83.0,57.0,20.0,
119,魂魄 妖忌,155.0,125.0,136.0,75.0,201.0,,222.0,215.0,,103.0,72.0,58.0,137.0,18.0,,,157.0,78.0,130.0,107.0,
120,エレン,153.0,141.0,140.0,134.0,157.0,,151.0,179.0,,131.0,64.0,6.0,97.0,6.0,7.0,3（3）,44.0,92.0,71.0,39.0,
121,核熱造神ヒソウテンソク,135.0,77.0,98.0,37.0,64.0,,96.0,77.0,,49.0,73.0,,139.0,,,,302.0,99.0,175.0,,
122,小兎姫,131.0,97.0,143.0,87.0,100.0,,182.0,172.0,,104.0,69.0,21.0,67.0,9.0,6.0,1（1）,65.0,82.0,72.0,37.0,7.0
123,エリス,123.0,135.0,119.0,117.0,141.0,,152.0,191.0,,108.0,50.0,,52.0,,,,21.0,56.0,43.0,7.0,
124,里香,108.0,97.0,113.0,78.0,87.0,,125.0,109.0,,98.0,67.0,5.0,49.0,5.0,,,32.0,65.0,33.0,21.0,2.0
125,レイラ・プリズムリバー,100.0,75.0,87.0,66.0,79.0,,123.0,121.0,,78.0,,35.0,,14.0,,,,64.0,,50.0,
126,妖精,97.0,96.0,87.0,53.0,73.0,,57.0,86.0,,66.0,59.0,,121.0,,,,65.0,54.0,78.0,18.0,
127,大ナマズ,94.0,98.0,84.0,55.0,123.0,,135.0,125.0,,106.0,38.0,,74.0,,,,217.0,53.0,96.0,,
128,明羅,86.0,76.0,86.0,70.0,80.0,,109.0,154.0,,80.0,34.0,14.0,83.0,1.0,2.0,,78.0,56.0,79.0,43.0,
129,ユウゲンマガン,85.0,63.0,74.0,64.0,64.0,,85.0,75.0,,55.0,45.0,,41.0,,,,27.0,52.0,39.0,12.0,
130,河童,82.0,33.0,64.0,24.0,33.0,,42.0,44.0,,35.0,21.0,,22.0,,,,,30.0,35.0,,
131,UFO,80.0,86.0,62.0,43.0,104.0,,94.0,92.0,,66.0,34.0,,49.0,,,,95.0,42.0,77.0,,
132,るーこと,77.0,103.0,84.0,67.0,117.0,,133.0,119.0,,58.0,25.0,9.0,41.0,2.0,,,39.0,43.0,26.0,13.0,
133,ホフゴブリン,73.0,22.0,40.0,19.0,24.0,,25.0,31.0,,30.0,78.0,,,,,,,44.0,,,
134,ツチノコ,72.0,30.0,43.0,32.0,58.0,,78.0,57.0,,46.0,25.0,25.0,49.0,,,,81.0,37.0,62.0,34.0,
135,ルイズ,61.0,63.0,74.0,48.0,61.0,,221.0,77.0,,47.0,31.0,12.0,32.0,1.0,,1（1）,23.0,58.0,36.0,18.0,
136,チュパカブラ,61.0,45.0,41.0,25.0,49.0,,47.0,58.0,,34.0,31.0,,,,,,,35.0,,,
137,朝倉 理香子,59.0,58.0,61.0,44.0,65.0,,101.0,95.0,,50.0,36.0,22.0,65.0,6.0,4.0,1（1）,52.0,39.0,51.0,19.0,3.0
138,キクリ,58.0,54.0,42.0,36.0,43.0,,53.0,48.0,,33.0,22.0,,29.0,,,,44.0,17.0,21.0,3.0,
139,玄爺,58.0,43.0,41.0,34.0,66.0,,77.0,81.0,,42.0,29.0,17.0,30.0,3.0,7.0,3（2）,30.0,27.0,25.0,25.0,2.0
140,サラ,55.0,40.0,43.0,36.0,44.0,,41.0,75.0,,39.0,37.0,7.0,29.0,,1.0,,21.0,22.0,34.0,7.0,
141,ミミちゃん,55.0,38.0,32.0,42.0,53.0,,67.0,71.0,,36.0,28.0,,48.0,,,,27.0,28.0,33.0,,
142,狐,55.0,39.0,50.0,25.0,28.0,,29.0,37.0,,43.0,,,,,,,,,,,
143,華扇の動物,51.0,29.0,30.0,12.0,39.0,,49.0,49.0,,27.0,,,,,,,,,,,
