,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"subpower[0, 1]",0.627,0.23,0.174,1.048,0.01,0.007,545.0,757.0,1.01
"subpower[0, 2]",0.623,0.221,0.218,1.045,0.006,0.005,1079.0,1941.0,1.01
"subpower[0, 3]",0.627,0.231,0.199,1.048,0.008,0.006,767.0,1745.0,1.01
"subpower[0, 4]",0.626,0.226,0.207,1.077,0.008,0.006,804.0,610.0,1.01
"subpower[1, 0]",0.622,0.224,0.212,1.054,0.006,0.004,1118.0,2296.0,1.0
"subpower[1, 1]",0.615,0.218,0.211,1.028,0.005,0.004,1653.0,2037.0,1.01
"subpower[1, 2]",0.61,0.222,0.206,1.041,0.006,0.005,1172.0,1872.0,1.01
"subpower[1, 3]",0.634,0.235,0.21,1.066,0.015,0.011,293.0,954.0,1.02
"subpower[1, 4]",0.616,0.227,0.193,1.052,0.006,0.004,1231.0,1877.0,1.01
"subpower[2, 0]",0.629,0.23,0.23,1.086,0.007,0.005,1049.0,1673.0,1.01
"subpower[2, 1]",0.62,0.22,0.188,1.014,0.006,0.004,1355.0,1538.0,1.01
"subpower[2, 2]",0.626,0.222,0.214,1.046,0.007,0.005,809.0,1777.0,1.01
"subpower[2, 3]",0.624,0.224,0.219,1.058,0.007,0.005,898.0,2264.0,1.01
"subpower[2, 4]",0.62,0.221,0.206,1.039,0.006,0.004,1481.0,1860.0,1.01
"subpower[3, 0]",0.604,0.223,0.208,1.044,0.008,0.005,771.0,1886.0,1.01
"subpower[3, 1]",0.682,0.245,0.243,1.143,0.008,0.006,865.0,1766.0,1.01
"subpower[3, 2]",0.634,0.227,0.197,1.044,0.01,0.007,470.0,2045.0,1.01
"subpower[3, 3]",0.625,0.224,0.219,1.065,0.007,0.005,794.0,1114.0,1.01
"subpower[3, 4]",0.617,0.228,0.212,1.072,0.007,0.005,859.0,683.0,1.01
"subpower[4, 0]",0.703,0.255,0.245,1.149,0.014,0.01,345.0,1205.0,1.02
"subpower[4, 1]",0.627,0.223,0.217,1.052,0.006,0.004,1249.0,2357.0,1.02
"subpower[4, 2]",0.629,0.22,0.238,1.058,0.007,0.005,1178.0,968.0,1.01
"subpower[4, 3]",0.62,0.225,0.217,1.067,0.006,0.004,1248.0,2094.0,1.01
"subpower[4, 4]",0.627,0.232,0.187,1.044,0.008,0.006,688.0,765.0,1.01
"subpower[5, 0]",0.626,0.222,0.202,1.048,0.006,0.004,1370.0,1784.0,1.01
"subpower[5, 1]",0.675,0.231,0.266,1.13,0.008,0.005,887.0,1768.0,1.01
"subpower[5, 2]",0.619,0.224,0.221,1.066,0.006,0.005,1474.0,2099.0,1.01
