,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"inttitlepow[9, 8]",0.261,0.074,0.12,0.4,0.002,0.001,2057.0,2239.0,1.0
"inttitlepow[9, 9]",0.263,0.073,0.118,0.393,0.002,0.002,1160.0,2786.0,1.01
"inttitlepow[9, 10]",0.261,0.074,0.113,0.392,0.002,0.001,2202.0,2533.0,1.0
"inttitlepow[9, 11]",0.26,0.074,0.121,0.393,0.001,0.001,2518.0,3115.0,1.0
"inttitlepow[9, 12]",0.261,0.072,0.129,0.396,0.002,0.001,1901.0,3298.0,1.0
"inttitlepow[9, 13]",0.261,0.073,0.125,0.4,0.002,0.001,1853.0,3159.0,1.0
"inttitlepow[9, 14]",0.261,0.073,0.125,0.397,0.002,0.001,2339.0,3506.0,1.0
"inttitlepow[9, 15]",0.262,0.072,0.121,0.394,0.002,0.002,1186.0,2796.0,1.01
"inttitlepow[9, 16]",0.262,0.072,0.132,0.405,0.002,0.001,1952.0,3168.0,1.0
"inttitlepow[9, 17]",0.261,0.072,0.128,0.397,0.002,0.001,1550.0,3304.0,1.01
"inttitlepow[10, 0]",0.261,0.073,0.13,0.402,0.002,0.001,1799.0,3807.0,1.0
"inttitlepow[10, 1]",0.294,0.034,0.227,0.356,0.002,0.002,242.0,1021.0,1.02
"inttitlepow[10, 2]",0.295,0.035,0.234,0.362,0.002,0.002,240.0,1027.0,1.02
"inttitlepow[10, 3]",0.304,0.035,0.24,0.371,0.002,0.002,217.0,634.0,1.02
"inttitlepow[10, 4]",0.292,0.034,0.23,0.359,0.002,0.002,230.0,1112.0,1.02
"inttitlepow[10, 5]",0.27,0.032,0.213,0.332,0.002,0.001,240.0,1110.0,1.02
"inttitlepow[10, 6]",0.262,0.031,0.205,0.32,0.002,0.001,233.0,962.0,1.02
"inttitlepow[10, 7]",0.226,0.027,0.175,0.276,0.002,0.001,230.0,1066.0,1.02
"inttitlepow[10, 8]",0.261,0.073,0.127,0.402,0.002,0.001,1854.0,2690.0,1.0
"inttitlepow[10, 9]",0.261,0.074,0.122,0.4,0.002,0.001,2354.0,2750.0,1.0
"inttitlepow[10, 10]",0.261,0.074,0.121,0.396,0.002,0.001,1816.0,1998.0,1.0
"inttitlepow[10, 11]",0.26,0.072,0.13,0.401,0.001,0.001,2804.0,3441.0,1.0
"inttitlepow[10, 12]",0.261,0.074,0.125,0.4,0.002,0.001,1767.0,2508.0,1.0
"inttitlepow[10, 13]",0.262,0.074,0.121,0.398,0.002,0.001,1691.0,2874.0,1.0
"inttitlepow[10, 14]",0.263,0.071,0.128,0.396,0.002,0.001,1781.0,3675.0,1.0
"inttitlepow[10, 15]",0.26,0.074,0.122,0.402,0.002,0.001,2360.0,2194.0,1.0
"inttitlepow[10, 16]",0.261,0.075,0.116,0.398,0.002,0.001,2059.0,2782.0,1.0
"inttitlepow[10, 17]",0.261,0.074,0.123,0.402,0.002,0.001,1639.0,2599.0,1.0
"inttitlepow[11, 0]",0.263,0.072,0.13,0.4,0.002,0.001,1782.0,4137.0,1.0
"inttitlepow[11, 1]",0.262,0.073,0.131,0.405,0.002,0.001,2219.0,3542.0,1.0
"inttitlepow[11, 2]",0.263,0.072,0.119,0.387,0.002,0.001,1522.0,4005.0,1.01
"inttitlepow[11, 3]",0.262,0.072,0.126,0.393,0.002,0.001,1693.0,3323.0,1.0
"inttitlepow[11, 4]",0.261,0.072,0.127,0.394,0.002,0.001,1823.0,4495.0,1.0
"inttitlepow[11, 5]",0.26,0.074,0.122,0.4,0.002,0.001,1938.0,3400.0,1.0
"inttitlepow[11, 6]",0.261,0.074,0.132,0.407,0.002,0.001,2178.0,3207.0,1.0
"inttitlepow[11, 7]",0.262,0.074,0.126,0.403,0.002,0.001,1909.0,3442.0,1.0
"inttitlepow[11, 8]",0.261,0.074,0.132,0.406,0.002,0.001,2317.0,3036.0,1.0
"inttitlepow[11, 9]",0.263,0.073,0.132,0.402,0.002,0.001,1826.0,2896.0,1.0
"inttitlepow[11, 10]",0.261,0.074,0.129,0.406,0.002,0.001,1779.0,2999.0,1.0
"inttitlepow[11, 11]",0.262,0.072,0.126,0.396,0.001,0.001,2556.0,3060.0,1.0
"inttitlepow[11, 12]",0.261,0.075,0.129,0.41,0.002,0.001,1661.0,3117.0,1.0
"inttitlepow[11, 13]",0.26,0.074,0.119,0.401,0.002,0.001,2219.0,2643.0,1.0
"inttitlepow[11, 14]",0.261,0.073,0.124,0.398,0.002,0.001,2049.0,2737.0,1.0
"inttitlepow[11, 15]",0.263,0.071,0.129,0.396,0.001,0.001,2480.0,3774.0,1.0
"inttitlepow[11, 16]",0.258,0.075,0.117,0.4,0.002,0.001,1736.0,1473.0,1.0
"inttitlepow[11, 17]",0.261,0.073,0.132,0.404,0.002,0.001,2059.0,3215.0,1.0
