,名前,12回目ポイント,16回目ポイント,10回目ポイント,5回目ポイント,13回目ポイント,15回目ポイント,9回目ポイント,4回目ポイント,17回目ポイント,3回目ポイント,2回目ポイント,7回目ポイント,20回目ポイント,11回目ポイント,18回目ポイント,8回目ポイント,6回目ポイント,19回目ポイント,21回目ポイント,14回目ポイント,1回目ポイント
239,妖精燦々として,38.0,36.0,26.0,14.0,32.0,35.0,26.0,,44.0,,,26.0,55.0,36.0,52.0,25.0,19.0,49.0,55.0,33.0,
240,妖魔夜行,2188.0,1633.0,590.0,105.0,1935.0,1192.0,718.0,22.0,1926.0,36.0,11.0,536.0,2478.0,859.0,2906.0,568.0,368.0,2548.0,2478.0,1488.0,6.0
241,始原のビート,2159.0,1266.0,1657.0,,1751.0,1041.0,,,1147.0,,,,1008.0,1280.0,1132.0,,,1127.0,1008.0,1491.0,
242,孤独なウェアウルフ,389.0,173.0,432.0,,323.0,157.0,,,158.0,,,,168.0,218.0,174.0,,,149.0,168.0,251.0,
243,宇宙に浮かぶ幻想郷,41.0,32.0,23.0,,34.0,23.0,,,31.0,,,,32.0,21.0,37.0,,,43.0,32.0,23.0,
244,宇宙を飛ぶ不思議な巫女,440.0,176.0,,,267.0,124.0,,,203.0,,,,200.0,,191.0,,,195.0,200.0,217.0,
245,宇宙巫女帰還する,37.0,24.0,,,25.0,13.0,,,28.0,,,,33.0,,37.0,,,37.0,33.0,18.0,
246,宇宙巫女現る,119.0,90.0,,,87.0,47.0,,,85.0,,,,95.0,,78.0,,,94.0,95.0,70.0,
247,官板黄昏新聞,24.0,17.0,16.0,,15.0,6.0,,,8.0,,,,10.0,10.0,12.0,,,7.0,10.0,6.0,
248,宵闇の魔術師,63.0,32.0,28.0,6.0,51.0,37.0,21.0,9.0,31.0,5.0,,18.0,38.0,37.0,30.0,25.0,14.0,28.0,38.0,40.0,
249,対蹠地の鐘,65.0,31.0,,,61.0,32.0,,,21.0,,,,10.0,33.0,29.0,,,18.0,10.0,58.0,
250,封じられた妖怪,239.0,142.0,160.0,,207.0,117.0,254.0,,166.0,,,228.0,139.0,111.0,173.0,254.0,236.0,147.0,139.0,154.0,
251,封印されし神々,106.0,123.0,61.0,21.0,99.0,87.0,49.0,,144.0,,,61.0,187.0,49.0,192.0,56.0,40.0,160.0,187.0,110.0,
252,封魔終演,8.0,3.0,1.0,1.0,3.0,4.0,2.0,,4.0,,,,7.0,1.0,6.0,2.0,1.0,6.0,7.0,3.0,
253,小さな小さな賢将,650.0,407.0,431.0,,560.0,294.0,828.0,,276.0,,,1599.0,304.0,328.0,375.0,1081.0,,312.0,304.0,373.0,
254,小さな欲望の星空,169.0,116.0,92.0,,131.0,90.0,219.0,,118.0,,,,109.0,108.0,119.0,,,107.0,109.0,105.0,
255,小槌の魔力,20.0,13.0,16.0,,16.0,11.0,,,16.0,,,,19.0,9.0,18.0,,,12.0,19.0,17.0,
256,少女が見た日本の原風景,1598.0,1182.0,968.0,300.0,1272.0,862.0,1354.0,,1104.0,,,1063.0,1443.0,795.0,1228.0,1141.0,750.0,1493.0,1443.0,1047.0,
257,少女さとり,4751.0,2894.0,2731.0,,3634.0,2342.0,4615.0,,2774.0,,,5298.0,4439.0,2487.0,3544.0,4864.0,3869.0,3913.0,4439.0,2820.0,
258,少女幻葬,1222.0,822.0,672.0,389.0,988.0,626.0,1053.0,198.0,882.0,300.0,115.0,939.0,1094.0,593.0,942.0,907.0,770.0,1220.0,1094.0,850.0,
259,少女神性,84.0,83.0,47.0,16.0,77.0,69.0,80.0,14.0,88.0,13.0,2.0,55.0,86.0,48.0,83.0,55.0,33.0,80.0,86.0,64.0,1.0
260,少女秘封倶楽部,1245.0,724.0,686.0,93.0,918.0,574.0,815.0,63.0,674.0,49.0,,531.0,738.0,843.0,703.0,610.0,313.0,748.0,738.0,704.0,
261,少女綺想曲,3142.0,2515.0,1222.0,604.0,2429.0,1586.0,1548.0,292.0,3138.0,269.0,2.0,1286.0,4316.0,1313.0,4031.0,1418.0,1097.0,4158.0,4316.0,1946.0,1.0
262,巨大な影と小さな結末,58.0,20.0,41.0,,42.0,28.0,64.0,,17.0,,,112.0,17.0,32.0,23.0,92.0,,15.0,17.0,33.0,
263,平安のエイリアン,2530.0,1296.0,1505.0,,1949.0,1061.0,2488.0,,1460.0,,,2972.0,1359.0,1251.0,1606.0,2894.0,,1335.0,1359.0,1462.0,
264,年中夢中の好奇心,205.0,141.0,143.0,,150.0,121.0,271.0,,109.0,,,,105.0,102.0,114.0,257.0,,110.0,105.0,125.0,
265,幻夢界,17.0,16.0,9.0,,16.0,17.0,13.0,,18.0,,,5.0,33.0,4.0,22.0,8.0,2.0,25.0,33.0,17.0,
266,幻想の住人,3.0,4.0,,,0.0,3.0,1.0,,6.0,,,1.0,7.0,0.0,3.0,1.0,1.0,4.0,7.0,9.0,
267,幻想の永遠祭,27.0,29.0,15.0,7.0,34.0,29.0,19.0,4.0,24.0,11.0,,20.0,22.0,16.0,32.0,19.0,10.0,29.0,22.0,29.0,
268,幻想帝都,10.0,6.0,3.0,,6.0,8.0,6.0,,3.0,,3.0,6.0,8.0,14.0,3.0,5.0,1.0,5.0,8.0,2.0,
269,幻想浄瑠璃,821.0,831.0,668.0,,783.0,580.0,,,760.0,,,,692.0,583.0,668.0,,,789.0,692.0,727.0,
270,幻想科学,108.0,94.0,,,96.0,60.0,,3.0,98.0,4.0,,,135.0,,104.0,,,118.0,135.0,68.0,
271,幻想郷,31.0,34.0,14.0,5.0,26.0,6.0,16.0,1.0,21.0,,,14.0,37.0,16.0,40.0,14.0,8.0,34.0,37.0,20.0,
272,幻想郷の二ッ岩,270.0,92.0,282.0,,200.0,82.0,,,72.0,,,,77.0,188.0,79.0,,,87.0,77.0,139.0,
273,幻想郷ふしぎ発見,23.0,7.0,,,14.0,7.0,,,82.0,,,,24.0,12.0,37.0,,,24.0,24.0,12.0,
274,幻視の夜,240.0,219.0,104.0,48.0,227.0,146.0,118.0,19.0,222.0,28.0,,103.0,264.0,148.0,251.0,111.0,77.0,254.0,264.0,199.0,
275,幼心地の有頂天,737.0,473.0,478.0,,628.0,400.0,752.0,,450.0,,,731.0,418.0,408.0,447.0,766.0,668.0,440.0,418.0,606.0,
276,幽境,8.0,4.0,2.0,2.0,3.0,3.0,,,10.0,,,3.0,9.0,3.0,6.0,3.0,1.0,6.0,9.0,1.0,
277,幽夢,630.0,388.0,376.0,131.0,480.0,297.0,562.0,24.0,382.0,14.0,7.0,496.0,443.0,343.0,432.0,605.0,375.0,393.0,443.0,369.0,2.0
